id,name,latitude,longitude,type,dongCode
95,봉은사.삼성1파출소앞,37.5149677625,127.0594353837,bus,105
96,봉은사.코엑스북문,37.5141416642,127.0590150429,bus,105
97,봉은사.코엑스북문,37.5135467163,127.057639012,bus,105
98,봉은사역3번출구.삼성1파출소,37.5151079658,127.0601628839,bus,105
99,봉은사역5번출구.광동한방병원,37.5143904484,127.0623659475,bus,105
100,노블발렌티웨딩홀,37.5148306999,127.0647588832,bus,105
101,서울의료원강남분원,37.512568,127.065604,bus,105
102,강남경찰서면허시험장,37.5099462683,127.0657996068,bus,105
103,삼성역7번출구,37.510365746,127.0626294125,bus,105
104,무역센터,37.5111539189,127.0615406066,bus,105
105,무역센터,37.50929953,127.0625607319,bus,105
106,강남보건소.강남구립국제교육원,37.5153159325,127.0418085871,bus,108
107,한국무역센터.삼성역,37.5086670057,127.0617005963,bus,105
108,포스코사거리,37.5078226593,127.0563179719,bus,105
109,한별구립어린이집,37.5104103876,127.0549014268,bus,105
110,센트럴아이파크.강남구도시관리공단,37.5157795361,127.0520466841,bus,105
111,삼성동서광아파트,37.5172385944,127.0426083399,bus,105
112,강남구청.강남세무서,37.5182012324,127.0477736533,bus,105
113,청담역,37.5176356522,127.0506188246,bus,105
114,센트럴아이파크.강남구도시관리공단,37.5153174045,127.0518696115,bus,105
115,한별구립어린이집,37.5102276026,127.0546026643,bus,105
116,삼성중앙역.플래티넘아파트,37.512663758,127.0515286905,bus,105
117,삼성중앙역.플래티넘아파트,37.5123779785,127.0518271312,bus,105
118,삼성2문화센터,37.5110917636,127.0461375271,bus,105
119,라마다서울호텔앞,37.5108104729,127.046512905,bus,105
120,선릉역.선정릉정문,37.5058067497,127.0485231624,bus,105
121,선정릉역.무형문화재전수회관,37.5096985003,127.044202384,bus,105
122,한국토지주택공사앞,37.5128095277,127.0430458617,bus,105
123,포스코건너편,37.5066831874,127.0554269279,bus,105
124,선릉역,37.505143,127.050205,bus,105
125,도곡역2번출구.동부센트레빌,37.4915855937,127.0565229085,bus,106
126,중대부고,37.4918872375,127.0550936879,bus,106
127,단대부고.대치아이파크아파트,37.4946749575,127.0537770662,bus,106
128,한티역3번출구.서울강남고용노동지청,37.4964463596,127.0541425059,bus,106
129,삼성아파트입구,37.4981982,127.05956007,bus,106
130,농협대치지점,37.4979369667,127.0611545494,bus,106
131,대치SK.VIEW아파트.서울교회,37.4962613463,127.0620556876,bus,106
